session_name,question,response
"Day 2, afternoon",could be improved for,Bigger hats!
"Day 2, afternoon",could be improved for,"Functions are hard to understand, i don't know if it might be helpful with more simple functions to begin with to become used to the idea. Like the added function."
"Day 2, afternoon",could be improved for,Going slowing through the steps
"Day 2, afternoon",could be improved for,Good job
"Day 2, afternoon",could be improved for,"Good session, clear instructions and quick help when needed"
"Day 2, afternoon",could be improved for,"I liked this session, can't think of anything"
"Day 2, afternoon",could be improved for,I think the pace is still a bit slow even if I understand we are all on the different levels
"Day 2, afternoon",could be improved for,"It was a bit too long, difficult to focus the last 30 min"
"Day 2, afternoon",could be improved for,It's going a little slow
"Day 2, afternoon",could be improved for,No comments
"Day 2, afternoon",could be improved for,None
"Day 2, afternoon",could be improved for,Not much.
"Day 2, afternoon",could be improved for,Nothing :)
"Day 2, afternoon",could be improved for,"The illustrations with colors green/blue is very confusing. Maybe a more ""clinical""/Real world example would help for the understanding"
"Day 2, afternoon",could be improved for,The regex section was  a bit confusing - maybe we could have spent more time on it?
"Day 2, afternoon",could be improved for,This is simply great!
"Day 2, afternoon",could be improved for,Would love for this session to be even longer.
"Day 2, afternoon",could be improved for,"a bit too many breaks, which is necessary to help people but makes the course a bit slow"
"Day 2, afternoon",could be improved for,cannot think about something
"Day 2, afternoon",could be improved for,do it a bit faster
"Day 2, afternoon",could be improved for,dont know
"Day 2, afternoon",could be improved for,nothing
"Day 2, afternoon",could be improved for,nothing :)
"Day 2, afternoon",could be improved for,slow progress
"Day 2, afternoon",worked well for,Cleaning with nested conditions and joining the datasets and merging into one was excellently taught.
"Day 2, afternoon",worked well for,Code along sessions are nice.
"Day 2, afternoon",worked well for,"Despite having used case_when before, it was cool having it explained more in depth. Moreover, introducing the reduce function was super."
"Day 2, afternoon",worked well for,Everything
"Day 2, afternoon",worked well for,Good explanations. When I needed help I found it very useful (though challenging) when the instructor actually made me explain why I was doing what I was doing. Very good practice
"Day 2, afternoon",worked well for,Great overview of Processing and joining datasets. Easy to follow the code along and tempo was fine
"Day 2, afternoon",worked well for,It worked fine.
"Day 2, afternoon",worked well for,Nice seeing the streamlined data handling process
"Day 2, afternoon",worked well for,Nice to get the data sorted.
"Day 2, afternoon",worked well for,"Nice to get to know more about data cleaning, and merging data."
"Day 2, afternoon",worked well for,Nice to see how the data is being combined
"Day 2, afternoon",worked well for,Summarized the work from the day before.
"Day 2, afternoon",worked well for,Super relevant topics.
"Day 2, afternoon",worked well for,Support from organizers
"Day 2, afternoon",worked well for,The code along was good. Also it was nice that there is always time to get help
"Day 2, afternoon",worked well for,The tempo was quite nice. Really cool to see everything come together.
"Day 2, afternoon",worked well for,The topic - the progress - makes sense
"Day 2, afternoon",worked well for,"This session was particularly useful I think, when considering working with all kinds of big datasets. I think the explanations were very clear and it went slowly enough to keep up with all steps."
"Day 2, afternoon",worked well for,To go through the whole code together so that we catch errors along the way
"Day 2, afternoon",worked well for,Useful content :)
"Day 2, afternoon",worked well for,Useful to learn
"Day 2, afternoon",worked well for,everything
"Day 2, afternoon",worked well for,everything was good
"Day 2, afternoon",worked well for,functions combining the joining of several datasets at once; checking whether everyone got the right amount of rows
"Day 2, afternoon",worked well for,having different breaks in between the steps.
"Day 2, afternoon",worked well for,it was very informative and useful
"Day 2, afternoon",worked well for,"nice to piece by piece see the dataset form. Nice with the little mistake (day /sample), that we had to fix. Makes you aware of the df."
"Day 2, afternoon",worked well for,super good and quick help when problem occuredeasy and clear to follow
"Day 3, morning",could be improved for,Anders could have explained anonymous functions better
"Day 3, morning",could be improved for,Better visual illustrations of what we are doing
"Day 3, morning",could be improved for,Can the pivot task be visualized more in some way?
"Day 3, morning",could be improved for,Documentation of the content of the functions would be great
"Day 3, morning",could be improved for,I feel like I don't have enough knowledge to understand what I am doing during this course even though I have studied thoroughly the Introductory course.
"Day 3, morning",could be improved for,"I found some of the exercises quite difficult, as they had less guiding than yesterday. I realize that this was because we had to use som of the stuff we learned yesterday, but for someone who is very new to this and therefore receive A LOT of new information, I struggle remembering how to do the things we learned the day before. Of course there was the solution, but maybe there could be a help step before the solution e.g. where you had to fill out some of the blanks yourself. I realize we are a lot of people on a different level, but maybe it could help other people in my situation, so we do not have to go straight to the solution  :-)"
"Day 3, morning",could be improved for,I would love an overall guide for function creation
"Day 3, morning",could be improved for,It gets a bit more difficult so maybe more explanation and time for questions
"Day 3, morning",could be improved for,"Maybe 2-3 min at some intervals to talk to your side partner about what the function is ""telling R to do"". Sort of translate code to words.Furthermore, might specifiy the input in the function to get a better understanding like function (data = mmash, ...). So it is more transparent. Then ofc. remove it again after because it is more tidy :)"
"Day 3, morning",could be improved for,Maybe a bit more room for independent exploration.
"Day 3, morning",could be improved for,Maybe some explanation of why we are tidying up our functions.
"Day 3, morning",could be improved for,"Pivot is difficult to get, and difficult to understand the use of"
"Day 3, morning",could be improved for,"Some had difficulties in understanding the call:mmash |> tidy_summarise_by_day()Particularly when the summary_fn was introduced.I think it could help to use the function as we did the previous day, like:tidy_summarise_by_day(data = mmash, summary_fn = ....)Just a thought."
"Day 3, morning",could be improved for,"The flow could be improved. For example, reading tasks could be done while setting up the instructor´s laptop or similar to better use the time"
"Day 3, morning",could be improved for,The lunch break could have been shorter. The recap/summary of what we have done and why that is important/smart could be elaborated.
"Day 3, morning",could be improved for,The tidy_summary_by_day function became very long in the end and sometimes I got a bit lost in what was changing or staying the same. But honestly not sure if it makes sense to do it any differently.
"Day 3, morning",could be improved for,This is completely fine but too much on the plate becomes a bit overwhelming at times. But that's okay.
"Day 3, morning",could be improved for,Time stress to finish in time
"Day 3, morning",could be improved for,"When you refer to the previous topics, it is better to briefly over-explain it first and continue, other than that it was all good"
"Day 3, morning",could be improved for,do not have much to say except that in overall we could be a bit faster
"Day 3, morning",could be improved for,i think it everything was quite nice
"Day 3, morning",could be improved for,it was a bit slow sometimes
"Day 3, morning",could be improved for,maybe short group discussion end of day
"Day 3, morning",could be improved for,"more kable work, i hope more is comming"
"Day 3, morning",could be improved for,none
